Id,SalePrice
1461,118035.3918343968
1462,150362.54523925527
1463,178372.77921892115
1464,189841.37325434395
1465,188795.79925834684
1466,172330.84178962294
1467,175245.19848227385
1468,159052.85673385643
1469,187600.72000082146
1470,116955.79054169836
1471,197265.4946762472
1472,101308.93303585479
1473,98214.21317897305
1474,141133.08865113137
1475,114844.99504388556
1476,361753.59696182975
1477,242971.58506956158
1478,299379.5064290675
1479,281643.42940178775
1480,488279.55143544154
1481,302337.39120079717
1482,207946.59172644588
1483,171564.0770422936
1484,166455.1849764977
1485,182532.90786851206
1486,193767.16561449165
1487,314991.8455994689
1488,225954.02581255123
1489,181710.19813896524
1490,232355.3719826234
1491,192284.98079604024
1492,99255.56880975112
1493,167458.99040100933
1494,298416.3037595028
1495,281709.2463718527
1496,223007.83197312424
1497,177356.05025997284
1498,171557.11060526143
1499,156631.66582138053
1500,151615.7095329249
1501,168843.2852231986
1502,142897.7955291551
1503,301014.6567480542
1504,228108.3239213749
1505,211632.23377513906
1506,193141.806793055
1507,260809.3551221836
1508,206687.71749751014
1509,149087.47797024704
1510,139725.997774935
1511,161777.59445945575
1512,176154.46266626153
1513,158665.14383514566
1514,152012.85827555586
1515,196464.09686399938
1516,149903.61326482892
1517,166278.63357782218
1518,130851.86016092483
1519,214596.05860684163
1520,123661.21792625207
1521,130950.57917975039
1522,180159.7115999467
1523,108792.46173397375
1524,126961.59633237233
1525,118969.76929293557
1526,104115.90152007228
1527,106102.8584914029
1528,139840.00232722244
1529,147919.97292342506
1530,171460.16635977483
1531,104342.94858094037
1532,95040.96373128702
1533,156133.10863962854
1534,121263.04572535283
1535,149753.32754646748
1536,104848.97346164494
1537,57176.92083190017
1538,144986.52716561328
1539,191683.7069860655
1540,90216.35847977085
1541,135657.78333150566
1542,142006.9171587459
1543,194679.63327176287
1544,84134.95008180453
1545,110224.98504735102
1546,131422.31032584127
1547,124769.69128572712
1548,134038.3305956083
1549,110931.97381550891
1550,126343.32044686194
1551,110713.6730650213
1552,135881.89479381024
1553,134853.18094538897
1554,120892.75123429226
1555,165348.9881342422
1556,78731.14889597565
1557,109187.4857651485
1558,106674.22289357388
1559,62858.202013258524
1560,136585.1286354369
1561,119850.0741390809
1562,132037.16079418935
1563,122420.79131782772
1564,160332.0543027219
1565,138744.00941834634
1566,237350.37192442807
1567,79747.06935094866
1568,227605.4884869584
1569,140374.90840962596
1570,139632.3080243804
1571,120474.97011676127
1572,150590.5286927716
1573,243600.8352288016
1574,118655.04754977454
1575,220536.4867219984
1576,251974.57678827716
1577,180483.33159893987
1578,151922.23954152068
1579,134014.56330904822
1580,195826.1010164319
1581,159586.22236328406
1582,123321.57783306424
1583,315535.883433609
1584,221374.7152704064
1585,132324.15857162015
1586,73614.89129521955
1587,107204.14473554694
1588,154810.39605767292
1589,96981.01470374053
1590,144351.61579863622
1591,95389.82470054213
1592,120647.45102668362
1593,126606.0196965455
1594,129343.06008076678
1595,99006.79950116685
1596,208393.34461073633
1597,173873.01623522476
1598,203842.97523094245
1599,171904.01108106374
1600,164726.82861166523
1601,70140.83734737606
1602,117209.76387310553
1603,76592.6044165297
1604,250292.46900338173
1605,246160.28535028544
1606,172286.37812890348
1607,187542.90113269284
1608,214514.09243848207
1609,183310.6479208564
1610,148664.8541558166
1611,137150.67361252083
1612,171992.6072856764
1613,162432.42797245606
1614,129048.77593983796
1615,94631.30172199987
1616,79952.00533138971
1617,96201.90840154182
1618,133224.0406690616
1619,132748.7254354151
1620,138075.05278174518
1621,136186.53589837538
1622,136412.4041704818
1623,263960.57979023806
1624,210322.2963026556
1625,113348.90276537117
1626,172097.24461716352
1627,191979.51654454556
1628,282202.18131614086
1629,177917.02512746293
1630,356076.96051501785
1631,220533.03709727692
1632,234917.829497256
1633,168608.12336009732
1634,181013.8403531022
1635,170551.97082406515
1636,145757.92897879076
1637,205883.50827948056
1638,168828.74164523446
1639,186579.24353429794
1640,265129.99467325304
1641,181028.4432695492
1642,223362.33518043708
1643,191414.96653145493
1644,213917.52261521434
1645,241383.81907571605
1646,159409.58784555044
1647,159718.84868250423
1648,127964.92595186988
1649,136950.27719217312
1650,106590.47244617519
1651,121261.64950703627
1652,104050.73809285855
1653,106240.98652712248
1654,144672.3476999656
1655,138104.1868751294
1656,134486.94442693776
1657,146257.86644916792
1658,140894.74558433637
1659,121471.07130376241
1660,156082.90842419586
1661,471082.61021583696
1662,431207.4394470347
1663,379829.2053801915
1664,600755.11995153
1665,305594.17194652103
1666,325859.4109078987
1667,374477.51300814725
1668,363865.37853558577
1669,297621.95946043916
1670,342769.2159352183
1671,256625.57244645347
1672,472981.45820332837
1673,284810.9975308915
1674,235834.01539128984
1675,189424.17687528543
